word,translation,sentences
buy,покупать,"""I want to buy some bread.|She buys fresh vegetables every morning.|We bought milk and eggs yesterday.|We buy food every week.|Can I buy this?"""
checkout,касса,"""Let’s go to the checkout.|The checkout line was long.|He waited near the self-checkout machine.|She waited at the checkout.|I paid at the checkout."""
receipt,чек,"""I lost the receipt.|Please keep your receipt.|She asked for the receipt after paying.|He gave me the receipt.|Do you need a receipt?"""
bag,пакет,"""Do you need a bag?|I brought my own bag.|She packed everything into one bag.|She has a red bag.|I packed the bag."""
cart,тележка,"""The cart is full of groceries.|He pushed the cart to the cashier.|They took a cart at the entrance.|She pulled the cart.|The cart is heavy."""
price,цена,"""The price is too high.|What’s the price of this cheese?|Prices have gone up lately."""
discount,скидка,"""There’s a discount on bananas today.|We got a 10% discount.|She loves shopping with discounts."""
weigh,взвешивать,"""Please weigh the apples.|He weighed the vegetables before paying.|You must weigh it at the scale."""
queue,очередь,"""The queue moved slowly.|We waited in the queue for ten minutes.|She stood in the queue with her basket."""
store,магазин,"""I’m going to the store.|This store sells organic food.|The store closes at 9 PM."""
milk,молоко,"""I drink milk every day.|Please buy some milk.|Milk is in the fridge.|She spilled the milk.|They sell fresh milk."""
bread,хлеб,"""We need bread for dinner.|I bought some bread.|Bread is on the shelf.|He likes brown bread.|Do you want bread?"""
eggs,яйца,"""I eat eggs for breakfast.|She bought 6 eggs.|Eggs are in the box.|The eggs are fresh.|Can you cook eggs?"""
cashier,кассир,"""The cashier is friendly.|I gave money to the cashier.|She smiled at the cashier.|The cashier works fast.|Ask the cashier for help."""
sale,распродажа,"""The store has a sale.|We like big sales.|Is this on sale?|They wait for sales.|She found a good sale."""
shelf,полка,"""The shelf is full.|I see apples on the shelf.|Put the milk on the shelf.|She cleaned the shelf.|The shelf is high."""
cash,наличные,"""Do you have cash?|I paid with cash.|Cash is in my wallet.|She gave me cash.|He likes to use cash."""
card,карта,"""I paid with a card.|Do you take cards?|My card did not work.|She used her card.|Use a card or cash."""
fruit,фрукты,"""I eat fruit every day.|She bought fresh fruit.|Fruit is healthy.|Put fruit in the basket.|They sell local fruit."""
vegetable,овощ,"""Vegetables are good for you.|I need more vegetables.|She cooks with vegetables.|Do you like vegetables?|We bought green vegetables."""
apple,яблоко,"""I ate an apple.|The apple is red.|Apples are on the table.|She gave me an apple.|Buy some apples."""
banana,банан,"""I have a banana for lunch.|Bananas are yellow.|He likes bananas.|She peeled a banana.|We bought bananas."""
water,вода,"""I drink water.|She asked for water.|Water is cold.|Do you want water?|He brought a bottle of water."""
juice,сок,"""I like apple juice.|Do you want juice?|She poured juice.|Juice is in the fridge.|He drinks orange juice."""
aisle,проход,"""The milk is in aisle 3.|She walked down the aisle.|He found tea in aisle 5.|Look in the next aisle.|The aisle is busy."""
item,предмет,"""I need five items.|This item is cheap.|She lost one item.|Check the item again.|We packed all the items."""
total,итого,"""The total is $20.|What is the total?|Check the total price.|He paid the total.|I saw the total on the screen."""
change,сдача,"""Here is your change.|She gave me the change.|I got some coins as change.|He asked for his change.|Take the change."""
bottle,бутылка,"""I need a bottle of water.|She bought a bottle of milk.|The bottle is empty.|This bottle is big.|Open the bottle."""
can,консерва,"""He bought a can of beans.|Open the can.|The can is heavy.|She carried a can.|Put the can in the bag."""
basket,корзина,"""Take a shopping basket.|The basket is full.|She dropped the basket.|He has a basket of fruit.|The basket is small."""
cash desk,касса,"""Let’s go to the cash desk.|The cash desk is busy.|She paid at the cash desk.|I waited by the cash desk.|Where is the cash desk?"""
frozen,замороженный,"""I like frozen pizza.|The frozen food is here.|She bought frozen berries.|It is in the frozen section.|Frozen meals are quick."""
tea,чай,"""I like green tea.|Do you want tea?|She drinks tea every morning.|We bought some tea.|The tea is hot."""
meat,мясо,"""I bought fresh meat.|Do you eat meat?|He cooks meat for lunch.|Meat is in the fridge.|We need more meat."""
fish,рыба,"""Fish is healthy.|She fried some fish.|I don’t eat fish.|He bought a big fish.|The fish is cold."""
rice,рис,"""We eat rice every day.|She cooked rice.|Rice is easy to make.|Do you like rice?|Buy a bag of rice."""
flour,мука,"""I need flour to bake.|Flour is in the bag.|She added flour.|The flour is white.|We ran out of flour."""
sugar,сахар,"""Sugar is sweet.|Do you want sugar in tea?|She added sugar.|We bought some sugar.|The sugar is on the shelf."""
salt,соль,"""Add some salt.|Salt is next to pepper.|She used too much salt.|Where is the salt?|I found the salt."""
pepper,перец,"""He likes black pepper.|Put pepper on the eggs.|She bought red pepper.|Add pepper to the soup.|Do you need pepper?"""
butter,масло,"""I use butter for cooking.|She spread butter on bread.|Butter is in the fridge.|We need more butter.|The butter is soft."""
oil,масло (растительное),"""We need cooking oil.|The oil is hot.|She poured oil in the pan.|Do we have oil?|The bottle has oil."""
cleaner,чистящее средство,"""This cleaner works well.|I bought a new cleaner.|Use cleaner on the floor.|She sprayed cleaner.|The cleaner smells fresh."""
soap,мыло,"""We need hand soap.|The soap is on the sink.|She bought soap bars.|He likes liquid soap.|Give me the soap."""
towel,полотенце,"""The towel is clean.|I need a towel.|She dried hands with a towel.|Where is the towel?|He bought new towels."""

