word,translation,sentences
ask for,просить,He asked for a cup of coffee.|I will ask for help when needed.|They asked for the bill.
back up,поддерживать,She backed up her friend during the meeting.|He backed up the data on his computer.|Can you back me up at the meeting?
blow up,взорваться/разозлиться,The bomb blew up in the street.|He blew up when he heard the news.|Don't blow up at me!
break down,сломаться/расплакаться,My car broke down on the way home.|Our computer broke down yesterday.|She broke down in tears.
break up,расстаться/разбиться на части,They decided to break up after five years.|The glass broke up in the sink.|They broke up last month.
bring about,вызывать,The new law brought about many changes.|His speech brought about a positive reaction.|They brought about the decision.
bring in,вводить,The company brought in a new policy.|They brought in a new manager.|We brought in more revenue.
bring up,упоминать/воспитывать,She brought up an important topic.|They brought up the child well.|Please don’t bring it up now.
call back,перезвонить,I'll call you back later.|He called back after an hour.|Call back when you're free.
call off,отменить,They called off the meeting.|He called off the trip because of rain.|We called it off.
carry on,продолжать,She carried on after the break.|Carry on working until it's done.|They carried on talking.
catch up,наверстать,I need to catch up with my work.|They caught up after the break.|She caught up on news.
check out,посмотреть/выписаться,Check out the new store.|We checked out at noon.|Please check it out.
come across,натолкнуться,I came across an old photo today.|He came across as rude.|She came across a strange article.
come back,вернуться,She came back yesterday.|Come back soon.|He always comes back early.
come out,выходить,Her book comes out next month.|The photo came out blurry.|The truth came out eventually.
come up with,придумать,We need to come up with a plan.|They came up with a good idea.|She came up quickly with a solution.
cut back,сократить,We must cut back on expenses.|He cut back his sugar intake.|They cut back staff.
cut down,сокращать,He needs to cut down on caffeine.|Cut down the trees responsibly.|We cut down our usage.
cut off,прерывать,The call was cut off suddenly.|They cut off power at midnight.|He was cut off mid-sentence.
accommodate,удовлетворять,We try to accommodate client requests.|Can we accommodate that change?|The schedule was adjusted to accommodate the team.
acknowledge,признавать,He acknowledged the mistake.|Please acknowledge receipt of the email.|They acknowledged her contribution.
advocate,поддерживать,She advocates for fair policies.|He advocated a different approach.|They advocate transparency.
align,согласовывать,Let’s align our goals with the company strategy.|The project is aligned with our mission.|They aligned the tasks effectively.
amend,вносить изменения,We amended the contract yesterday.|They amended the document slightly.|Can we amend the timeline?
articulate,выражать ясно,She articulated her ideas clearly.|Please articulate your needs.|They articulated the new vision.
audit,проверять,We audit our process every quarter.|They audited the financial report.|An external team will audit the results.
authorize,разрешать,He is authorized to approve expenses.|They authorized the changes.|Please authorize this request.
benchmark,сравнивать,We benchmark against industry leaders.|They benchmarked our progress.|Use data to benchmark performance.
brainstorm,мозговой штурм,Let’s brainstorm ideas for the campaign.|We brainstormed as a team.|They held a quick brainstorming session.
clarify,уточнять,Can you clarify your point?|He clarified the process.|They clarified the next steps.
comply,соответствовать,We must comply with regulations.|They complied fully.|Ensure your actions comply with policy.
convey,передавать,She conveyed the message clearly.|How do we convey urgency?|They conveyed concerns politely.
coordinate,координировать,I coordinate between departments.|She coordinated the meeting.|They coordinate very well.
critique,критиковать,He critiqued the presentation constructively.|We will critique your proposal.|They critiqued the final draft.
customize,настраивать,We can customize this service for you.|They customized the platform.|He customized the report format.
demonstrate,показывать,Let me demonstrate the tool.|She demonstrated leadership skills.|They demonstrated the results.
differentiate,различать,It’s hard to differentiate between the two.|She differentiated her product line.|We must differentiate our brand.
disclose,раскрывать,He disclosed all relevant information.|They disclosed the risks.|You must disclose conflicts of interest.
disseminate,распространять,We disseminate updates weekly.|They disseminated the policy changes.|Please disseminate this notice.
emphasize,подчёркивать,I want to emphasize the importance.|She emphasized our priorities.|They emphasized the risks.
empower,уполномочивать,We empower employees to decide.|She empowered the team.|They empower local managers.
enhance,улучшать,This upgrade will enhance speed.|He enhanced the report with visuals.|They aim to enhance productivity.
envision,представлять,We envision rapid growth.|She envisions a flexible workspace.|He envisioned a better system.
escalate,обострять/передавать выше,We need to escalate this issue.|He escalated the ticket.|They escalated the complaint.
evaluate,оценивать,We evaluate proposals carefully.|She evaluated the vendor’s offer.|They evaluate performance yearly.
execute,выполнять,They executed the plan well.|He executed the project flawlessly.|Can we execute it this week?
expand,расширять,We plan to expand into Europe.|The company expanded quickly.|She expanded her role.
expedite,ускорять,Please expedite this request.|We expedited the delivery.|They want to expedite approval.
forecast,прогнозировать,We forecast sales monthly.|She forecasted growth.|They forecasted a decline.
formulate,формулировать,Let’s formulate a new strategy.|They formulated the plan together.|She formulated her argument clearly.
gauge,оценивать,Can we gauge customer satisfaction?|He gauged the team's response.|They gauged market interest.
generate,производить,We need to generate leads.|They generated new interest.|She generated detailed reports.
highlight,подчёркивать,Please highlight the key points.|She highlighted the need for clarity.|They highlighted changes.
illustrate,иллюстрировать,She illustrated the point with data.|Let me illustrate the process.|They illustrated the concept.
initiate,начинать,He initiated the discussion.|They initiated a new phase.|She initiated contact.
integrate,объединять,We integrated all systems.|She integrates well with the team.|They integrated customer feedback.
intervene,вмешиваться,He had to intervene.|They intervened just in time.|Don’t intervene unless necessary.
justify,оправдывать,Can you justify the expense?|He justified the decision.|They justified their absence.
mediate,посредничать,She mediated the dispute.|We asked HR to mediate.|He mediated between teams.
optimize,оптимизировать,Let’s optimize the workflow.|She optimized the report.|They optimized server speed.
oversee,контролировать,He oversees our operations.|She oversees three departments.|They oversee implementation.
prioritize,расставлять приоритеты,Please prioritize urgent tasks.|He prioritized customer needs.|They prioritized goals.
procure,закупать,We procured the materials locally.|He procures all IT supplies.|They procured support services.
project,прогнозировать,We project higher earnings.|She projected a 5% increase.|They projected the outcome.
reassess,переоценить,We should reassess our goals.|They reassessed their priorities.|She reassessed the risks.
reiterate,повторять,Let me reiterate our position.|She reiterated the point.|They reiterated the instructions.
reinforce,усиливать,This message reinforces our values.|He reinforced the importance of safety.|They reinforced the structure.
renegotiate,пересматривать,We need to renegotiate terms.|They renegotiated the deal.|She renegotiated her contract.
revise,пересматривать,Please revise the report.|They revised their strategy.|He revised the policy.
spearhead,возглавлять,She will spearhead the campaign.|He spearheaded the initiative.|They spearhead innovation.
account for,объяснять,Can you account for your actions?|The delays account for the late delivery.|We must account for every expense.
adhere to,придерживаться,All staff must adhere to company policy.|Please adhere to the deadlines.|We adhere to safety standards.
aim at,нацеливаться,This ad aims at young people.|We aim at increasing efficiency.|He always aims at the best result.
bank on,рассчитывать на,You can bank on her support.|Don't bank on an easy win.|I’m banking on good weather.
bear with,терпеть,Please bear with me for a moment.|Bear with us during the update.|Can you bear with this noise?
blow over,утихать,The argument will blow over soon.|Wait for the storm to blow over.|Problems like this usually blow over.
boil down to,сводиться к,It all boils down to trust.|The question boils down to timing.|Success boils down to effort.
bounce back,восстанавливаться,She bounced back from illness quickly.|The team bounced back after a loss.|We will bounce back soon.
branch out,расширяться,The company branched out into Asia.|He wants to branch out on his own.|We plan to branch out next year.
break into,ворваться,They broke into the market last year.|He broke into the conversation.|She broke into tears.
bring about,вызывать,This law brought about changes.|Her speech brought about a reaction.|What brought about this result?
bring forward,перенести на более ранний срок,We need to bring the meeting forward.|Can we bring the date forward?|The launch was brought forward.
brush up on,освежать знания,I need to brush up on my Spanish.|She brushed up on her skills.|He brushed up on the rules.
buckle down,серьёзно взяться,You need to buckle down and study.|Let’s buckle down to work.|She finally buckled down.
burn out,выгорать,She burned out after two years.|He burned out from overwork.|Don't burn out.
call on,заходить/обращаться,I'll call on you tomorrow.|He called on his friend for help.|She called on the manager.
carry forward,переносить,We will carry forward the balance.|Carry forward any unused days.|The points are carried forward.
carry out,выполнять,They carried out the plan successfully.|She carries out her duties well.|Who will carry out this task?
catch on,становиться популярным/понимать,The new app caught on fast.|She finally caught on.|Did you catch on to the rules?
chip in,скидываться,Everyone chipped in for a gift.|Can you chip in for pizza?|She chipped in with an idea.
clam up,замолчать,He clammed up during the meeting.|She clams up when stressed.|Don't clam up now.
come down to,сводиться к,It comes down to money.|This issue comes down to trust.|What it all comes down to is time.
come through,выдержать,She came through the crisis.|We came through stronger.|He always comes through.
